"Spend Period (Daily)","DOW","Slicer 1","Slicer 2","Slicer 3","Slicer 4","Slicer 5","10% Bucket","total_revenue_shared (SUM)"
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","0-10%",42.148229999999984
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","10-20%",71.99981
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","20-30%",67.87874000000002
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","30-40%",53.88261999999998
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","40-50%",28.74741
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","50-60%",16.12663
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","60-70%",12.349750000000007
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","70-80%",20.313410000000005
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","80-90%",40.69537
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","90-100%",35.29036000000002
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","0-10%",1.5189499999999998
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","10-20%",19.533110000000004
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","20-30%",27.565150000000003
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","30-40%",14.219580000000004
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","40-50%",20.45501
