"Spend Period (Daily)","DOW","Slicer 1","Slicer 2","Slicer 3","Slicer 4","Slicer 5","Revenue Shared","Revenue Growth%"
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",11.825980000000001,-0.14702609054406202
"2026-08-18 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall",6.4682,-0.3388144209234025
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall",137.8468800000001,-0.024121142262145345
"2026-08-18 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",62.971070000000005,5.107055434866942
"2026-08-18 00:00:00","3.Tuesday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",2.0689499999999996,0.8589950940751512
"2026-08-18 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",3.1692000000000005,-0.6469904184386577
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",94.11699000000007,0.21527004920761672
"2026-08-18 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",389.4323300000002,-0.05454357279444022
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",34.71977999999999,-0.08476350924771636
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",39.790079999999996,-0.04930374003491189
"2026-08-18 00:00:00","3.Tuesday","Zombie Pralay","Overall","Overall","Overall","Overall",23.84748,17.09945506155224
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",14.555380000000005,0.6551207336695422
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall",10.678629999999998,0.574587207639202
